,ts_month,product_id
0,11.0,3100640
1,11.0,4804056
2,11.0,3900003
3,11.0,3900003
4,11.0,12301057
5,11.0,12301057
6,11.0,12301057
7,11.0,12301057
8,11.0,12301057
9,11.0,12301057
10,11.0,50600010
11,11.0,50600010
12,11.0,50600010
13,11.0,50600010
14,11.0,50600010
15,11.0,9200409
16,11.0,4803977
17,11.0,3601524
18,11.0,2701753
19,11.0,3601524
20,11.0,3601524
21,11.0,3601343
22,11.0,6200691
23,11.0,6200691
24,11.0,6200690
25,11.0,4804056
26,10.0,6300288
27,10.0,6800421
28,10.0,4802036
29,10.0,1801881
30,2.0,1005115
31,2.0,30100027
32,2.0,8800313
33,2.0,1002098
34,2.0,3601603
35,2.0,1004767
36,2.0,26300352
37,2.0,26300352
38,2.0,1005003
39,2.0,1005003
40,2.0,1005003
41,2.0,1005003
42,2.0,1005113
43,2.0,1005113
44,2.0,1005004
45,2.0,1005004
46,2.0,1005004
47,2.0,1005004
48,2.0,1005004
49,2.0,1005004
50,2.0,1005004
51,2.0,26300409
52,2.0,1002544
53,2.0,1002544
54,2.0,3601244
55,2.0,3601244
56,2.0,3601244
57,2.0,3601244
58,2.0,3601244
59,2.0,3601244
60,2.0,3601244
61,2.0,3601244
62,2.0,3601244
63,2.0,3601244
64,2.0,3601244
65,2.0,3601244
66,2.0,3601244
67,2.0,3601244
68,2.0,3601244
69,2.0,3601244
70,2.0,3601244
71,2.0,3601244
72,2.0,3601244
73,2.0,3601244
74,2.0,3601244
75,2.0,3601244
76,2.0,3601244
77,2.0,3601244
78,2.0,3601244
79,2.0,3601244
80,2.0,3601244
81,2.0,3601244
82,2.0,3601244
83,2.0,3601244
84,2.0,3601244
85,2.0,3601244
86,2.0,3601244
87,2.0,3601244
88,2.0,3601244
89,2.0,3601244
90,2.0,3601244
91,2.0,3601244
92,2.0,3601244
93,2.0,3601244
94,2.0,3601244
95,2.0,3601244
96,2.0,3601244
97,2.0,3601244
98,2.0,3601244
99,2.0,3601244
100,2.0,3601244
101,2.0,3601244
102,2.0,3601244
103,2.0,3601603
104,2.0,3601603
105,2.0,3601244
106,2.0,3601244
107,2.0,3601603
108,2.0,3601244
109,2.0,3601244
110,2.0,31500231
111,2.0,3801134
112,2.0,3801134
113,2.0,3600545
114,2.0,100094553
115,2.0,1002544
116,2.0,1002544
117,2.0,1005203
118,2.0,1005169
119,2.0,3601603
120,2.0,3601603
121,2.0,100000589
122,2.0,3600775
123,2.0,1002544
124,2.0,1005169
125,12.0,100016020
126,12.0,3801134
127,12.0,3801134
128,12.0,1005160
129,12.0,1005161
130,12.0,100030344
131,12.0,1004209
132,12.0,15200781
133,12.0,1004836
134,12.0,1005159
135,12.0,1005100
136,12.0,1005100
137,12.0,1005100
138,12.0,4802403
139,12.0,1005239
140,12.0,1004653
141,12.0,1004653
142,12.0,1005186
143,12.0,1004653
144,12.0,1005239
145,12.0,1005159
146,12.0,1004836
147,12.0,1005118
148,12.0,1005118
149,12.0,14700096
150,12.0,6800865
151,12.0,14700096
152,12.0,100015219
153,12.0,1004767
154,12.0,1003310
155,12.0,1003310
156,12.0,1005144
157,12.0,1005160
158,12.0,1005159
159,12.0,1005288
160,12.0,1005223
161,12.0,1005264
162,12.0,1005239
163,12.0,1005160
164,12.0,100013980
165,12.0,100013980
166,12.0,100013980
167,12.0,1005223
168,12.0,100013991
169,12.0,1005161
170,12.0,1004246
171,12.0,1005115
172,12.0,1005115
173,12.0,1004653
174,12.0,1004653
175,12.0,1004653
176,12.0,1004872
177,12.0,1004767
178,12.0,1005098
179,12.0,11600160
180,12.0,11600160
181,12.0,1004653
182,12.0,1004653
183,12.0,1002544
184,12.0,1005105
185,12.0,1004767
186,12.0,3801134
187,12.0,100012418
188,12.0,1004653
189,12.0,1004653
190,12.0,100012532
191,12.0,100012418
192,12.0,17300568
193,12.0,17300568
194,12.0,17300568
195,12.0,17300568
196,12.0,1005118
197,12.0,1005118
198,12.0,1005118
199,12.0,1005118
200,12.0,1005118
201,12.0,1005118
202,12.0,1005105
203,12.0,1004856
204,12.0,1005115
205,12.0,1701392
206,12.0,1005223
207,12.0,1005239
208,12.0,1004838
209,12.0,8800773
210,12.0,1004838
211,1.0,2800587
212,1.0,2800587
213,1.0,100042679
214,1.0,1002544
215,1.0,3100970
216,1.0,3100970
217,1.0,4804022
218,1.0,4804022
219,1.0,1004767
220,1.0,12400019
221,1.0,2500566
222,1.0,1004767
223,1.0,3701088
224,1.0,1005023
225,1.0,1004767
226,1.0,1004873
227,1.0,1004026
228,1.0,1002544
229,1.0,11600043
230,1.0,2701888
231,1.0,1004767
232,1.0,100068488
233,1.0,3700926
234,1.0,3601489
235,1.0,1004856
236,1.0,1004856
237,1.0,1004856
238,1.0,1005132
239,1.0,1307352
240,1.0,1801704
241,1.0,1802005
242,1.0,1004935
243,1.0,1307352
244,1.0,1004937
245,1.0,1306355
246,1.0,1307568
247,1.0,1005113
248,1.0,1004870
249,1.0,1004870
250,1.0,1306355
251,1.0,1004766
252,1.0,1005022
253,1.0,1005212
254,1.0,100003358
255,1.0,1802038
256,1.0,1802038
257,1.0,1004767
258,1.0,100030913
259,1.0,1005115
260,1.0,1005239
261,1.0,1004939
262,1.0,100019252
263,1.0,1005223
264,1.0,1005223
265,1.0,1004781
266,1.0,1005161
267,1.0,1201465
268,1.0,1005205
269,1.0,1201295
270,1.0,1201295
271,1.0,1004750
272,1.0,1004750
273,1.0,1005203
274,1.0,1005264
275,1.0,1005266
276,1.0,1005266
277,1.0,1004767
278,1.0,1004226
279,1.0,1004870
280,1.0,1004870
281,1.0,1004870
282,1.0,1003310
283,1.0,1003310
284,1.0,1005100
285,1.0,1005098
