,product_id,price,brand,cat_0,cat_1
0,4804056,159.87,apple,electronics,audio
1,4803866,35.78,sven,electronics,audio
2,4803866,35.78,sven,electronics,audio
3,4803866,35.78,sven,electronics,audio
4,3700885,120.96,lg,appliances,environment
5,2900802,118.15,samsung,appliances,kitchen
6,4804056,159.33,apple,electronics,audio
7,4804056,159.33,apple,electronics,audio
8,3600182,130.66,midea,appliances,kitchen
9,3600182,130.66,midea,appliances,kitchen
10,3600182,130.66,midea,appliances,kitchen
11,3600182,130.66,midea,appliances,kitchen
12,3600182,130.66,midea,appliances,kitchen
13,3600182,130.66,midea,appliances,kitchen
14,4804056,159.33,apple,electronics,audio
15,6000094,121.24,starline,auto,accessories
16,6000094,121.24,starline,auto,accessories
17,6000094,121.24,starline,auto,accessories
18,6000094,121.24,starline,auto,accessories
19,6000094,121.24,starline,auto,accessories
20,1801561,565.96,lg,electronics,video
21,3601437,383.28,lg,appliances,kitchen
22,1801561,565.96,lg,electronics,video
23,1801561,565.96,lg,electronics,video
24,3601437,383.28,lg,appliances,kitchen
25,1801561,565.96,lg,electronics,video
26,3601448,437.33,lg,appliances,kitchen
27,5801393,95.5,kicx,electronics,audio
28,3601437,383.28,lg,appliances,kitchen
29,5801393,95.5,kicx,electronics,audio
30,5801393,95.5,kicx,electronics,audio
31,1801940,231.64,haier,electronics,video
32,3100971,94.19,moulinex,appliances,kitchen
33,3600182,118.64,midea,appliances,kitchen
34,4803984,17.68,huawei,electronics,audio
35,4803984,17.68,huawei,electronics,audio
36,1801881,514.5,samsung,electronics,video
37,6200724,20.34,oasis,appliances,environment
38,6200284,90.07,tefal,appliances,environment
39,1802037,300.81,lg,electronics,video
40,1801739,289.55,samsung,electronics,video
41,3100189,69.47,braun,appliances,kitchen
42,100023426,759.35,hp,electronics,audio
43,1005104,841.86,apple,construction,tools
44,1005115,810.19,apple,construction,tools
45,1005116,887.37,apple,construction,tools
46,1005116,887.37,apple,construction,tools
47,1005116,887.37,apple,construction,tools
48,1005116,887.37,apple,construction,tools
49,100023514,720.71,acer,electronics,audio
50,100023514,720.71,acer,electronics,audio
51,100023514,720.71,acer,electronics,audio
52,100023514,720.71,acer,electronics,audio
53,1005104,831.35,apple,construction,tools
54,100023500,226.49,xiaomi,construction,tools
55,1005221,280.39,xiaomi,construction,tools
56,1005104,830.78,apple,construction,tools
57,8700571,21.31,moser,appliances,personal
58,8700571,21.31,moser,appliances,personal
59,8700571,21.31,moser,appliances,personal
60,8700571,21.31,moser,appliances,personal
61,1004836,228.31,samsung,construction,tools
62,1004226,720.48,apple,construction,tools
63,1004226,720.48,apple,construction,tools
64,1004356,1286.78,apple,construction,tools
65,1307478,235.27,lenovo,electronics,audio
66,1307478,235.27,lenovo,electronics,audio
67,100023426,771.96,hp,electronics,audio
68,100023426,771.96,hp,electronics,audio
69,1004496,66.21,meizu,construction,tools
70,1004249,694.74,apple,construction,tools
71,1004249,694.74,apple,construction,tools
72,1004250,821.1,apple,construction,tools
73,1005212,174.5,samsung,construction,tools
74,1005212,174.5,samsung,construction,tools
75,1004767,230.12,samsung,construction,tools
76,1004767,230.12,samsung,construction,tools
77,1004767,238.74,samsung,construction,tools
78,1004767,238.74,samsung,construction,tools
79,1004241,1027.03,apple,construction,tools
80,1004362,1003.63,apple,construction,tools
81,1005212,172.29,samsung,construction,tools
82,1005104,823.4,apple,construction,tools
83,1004362,1003.63,apple,construction,tools
84,3700704,283.12,bosch,appliances,environment
85,100033708,280.23,xiaomi,construction,tools
86,1005266,154.42,xiaomi,construction,tools
87,3701088,77.20,bosch,appliances,environment
88,1005225,168.79,samsung,construction,tools
89,1004961,154.42,oppo,construction,tools
90,3601603,370.13,lg,appliances,kitchen
91,3601603,370.13,lg,appliances,kitchen
92,1004888,231.18,samsung,construction,tools
93,1004767,233.71,samsung,construction,tools
94,2702256,154.42,dauscher,appliances,kitchen
95,2702256,154.42,dauscher,appliances,kitchen
96,1004903,105.52,huawei,construction,tools
97,1004903,105.52,huawei,construction,tools
98,1004903,105.52,huawei,construction,tools
99,1004903,105.52,huawei,construction,tools
100,1004720,117.18,huawei,construction,tools
101,1004873,336.12,samsung,construction,tools
102,26400278,289.84,lucente,computers,peripherals
103,9101365,35.78,steelseries,computers,peripherals
104,9101365,46.31,steelseries,computers,peripherals
105,1005177,849.16,samsung,construction,tools
106,1004856,127.93,samsung,construction,tools
107,26400278,296.02,lucente,computers,peripherals
108,26400278,296.02,lucente,computers,peripherals
109,1004709,139.73,huawei,construction,tools
110,1004708,140.79,huawei,construction,tools
111,15201325,83.12,gigawatt,furniture,bedroom
112,15200988,107.17,bosch,furniture,bedroom
113,1005160,189.91,xiaomi,construction,tools
114,1004838,154.42,oppo,construction,tools
115,1004723,102.68,huawei,construction,tools
116,1005212,170.15,samsung,construction,tools
117,1005162,278.77,xiaomi,construction,tools
118,1005162,278.77,xiaomi,construction,tools
119,1004741,197.89,xiaomi,construction,tools
120,1004741,197.89,xiaomi,construction,tools
121,1004741,197.89,xiaomi,construction,tools
122,1004775,231.41,xiaomi,construction,tools
123,8700218,25.71,braun,appliances,personal
124,1004838,154.42,oppo,construction,tools
125,1004767,244.41,samsung,construction,tools
126,100041324,562.18,xiaomi,construction,tools
127,1005235,437.31,oppo,construction,tools
128,1004767,243.17,samsung,construction,tools
129,1005190,187.88,vivo,construction,tools
130,1005099,137.71,samsung,construction,tools
131,1005115,920.49,apple,construction,tools
132,14100123,117.87,yamaha,electronics,audio
133,1005221,264.52,xiaomi,construction,tools
134,1004903,76.94,huawei,construction,tools
135,1005159,178.63,xiaomi,construction,tools
136,1004870,269.09,samsung,construction,tools
137,1005253,264.87,xiaomi,construction,tools
138,1005105,1278.03,apple,construction,tools
139,1004767,238.54,samsung,construction,tools
140,1004767,238.54,samsung,construction,tools
141,1005221,261.39,xiaomi,construction,tools
142,1005221,261.39,xiaomi,construction,tools
143,1005221,261.39,xiaomi,construction,tools
144,1005221,261.39,xiaomi,construction,tools
145,1801766,152.64,artel,appliances,personal
146,1005104,908.59,apple,construction,tools
147,1004785,230.87,huawei,construction,tools
148,1004767,238.37,samsung,construction,tools
149,1004767,238.37,samsung,construction,tools
150,100033708,261.78,xiaomi,construction,tools
151,1005160,166.03,xiaomi,construction,tools
152,1005160,166.03,xiaomi,construction,tools
153,100033708,261.78,xiaomi,construction,tools
154,100033708,261.78,xiaomi,construction,tools
155,1005253,269.5,xiaomi,construction,tools
156,1005225,169.0,samsung,construction,tools
157,1005253,269.5,xiaomi,construction,tools
158,7600336,27.77,tp-link,furniture,kitchen
159,1600587,205.1,epson,computers,peripherals
160,1004767,231.95,samsung,construction,tools
161,1004767,231.32,samsung,construction,tools
162,26300076,215.96,lucente,appliances,kitchen
163,1005104,899.38,apple,construction,tools
164,26300746,365.26,lucente,appliances,kitchen
165,1005112,871.01,apple,construction,tools
166,1003533,306.29,samsung,construction,tools
167,6800653,23.07,kingston,appliances,kitchen
168,1005212,166.53,samsung,construction,tools
169,6800658,37.32,kingston,appliances,kitchen
170,6800658,37.32,kingston,appliances,kitchen
171,21800289,5.06,x-game,computers,peripherals
172,1307352,411.82,acer,electronics,audio
173,1005115,845.29,apple,construction,tools
174,1005212,166.53,samsung,construction,tools
175,6701209,651.21,palit,appliances,environment
176,6500907,102.71,gigabyte,apparel,shoes
177,1004836,231.38,samsung,construction,tools
178,6800658,32.18,kingston,appliances,kitchen
179,1005212,166.49,samsung,construction,tools
180,1004767,226.38,samsung,construction,tools
181,1002544,423.86,apple,construction,tools
182,1003533,275.4,samsung,construction,tools
183,1004767,226.27,samsung,construction,tools
184,1005100,141.06,samsung,construction,tools
185,1004903,91.38,huawei,construction,tools
186,1005115,838.32,apple,construction,tools
187,1004768,223.24,samsung,construction,tools
188,100012418,10.27,centek,electronics,camera
189,1201361,257.4,xiaomi,apparel,shoes
190,1005105,1212.71,apple,construction,tools
191,1004856,129.96,samsung,construction,tools
192,6301570,42.45,galaxy,electronics,camera
193,1005100,140.28,samsung,construction,tools
194,2502095,43.55,shivaki,appliances,kitchen
195,2501753,40.82,artel,appliances,kitchen
196,2500566,56.28,asel,appliances,kitchen
197,6301570,42.45,galaxy,electronics,camera
198,2501069,46.31,asel,appliances,kitchen
199,8700571,21.31,moser,appliances,personal
200,8700571,21.31,moser,appliances,personal
201,6800658,33.18,kingston,appliances,kitchen
202,14500100,35.26,bene,appliances,kitchen
203,1004873,307.77,samsung,construction,tools
204,8700572,24.4,wahl,appliances,personal
205,26400293,236.3,lucente,computers,peripherals
206,5800956,79.79,pride,electronics,audio
