,ts_weekday,ts_day,ts_month
0,0,0,11.0
1,0,0,11.0
2,1,0,11.0
3,1,0,11.0
4,0,1,11.0
5,0,1,11.0
6,0,1,11.0
7,0,1,11.0
8,0,1,11.0
9,0,1,11.0
10,1,1,11.0
11,1,1,11.0
12,1,1,11.0
13,1,1,11.0
14,1,1,11.0
15,0,1,11.0
16,0,1,11.0
17,0,2,11.0
18,0,2,11.0
19,0,2,11.0
20,0,2,11.0
21,0,2,11.0
22,1,2,11.0
23,1,2,11.0
24,1,2,11.0
25,0,2,11.0
26,1,0,10.0
27,1,0,10.0
28,0,2,10.0
29,1,2,10.0
30,1,0,2.0
31,1,0,2.0
32,0,0,2.0
33,1,0,2.0
34,0,0,2.0
35,0,1,2.0
36,0,1,2.0
37,0,1,2.0
38,0,1,2.0
39,0,1,2.0
40,0,1,2.0
41,0,1,2.0
42,0,1,2.0
43,0,1,2.0
44,0,1,2.0
45,0,1,2.0
46,0,1,2.0
47,0,1,2.0
48,0,1,2.0
49,0,1,2.0
50,0,1,2.0
51,0,1,2.0
52,1,1,2.0
53,1,1,2.0
54,1,1,2.0
55,1,1,2.0
56,1,1,2.0
57,1,1,2.0
58,1,1,2.0
59,1,1,2.0
60,1,1,2.0
61,1,1,2.0
62,1,1,2.0
63,1,1,2.0
64,1,1,2.0
65,1,1,2.0
66,1,1,2.0
67,1,1,2.0
68,1,1,2.0
69,1,1,2.0
70,1,1,2.0
71,1,1,2.0
72,1,1,2.0
73,1,1,2.0
74,1,1,2.0
75,1,1,2.0
76,1,1,2.0
77,1,1,2.0
78,1,1,2.0
79,1,1,2.0
80,1,1,2.0
81,1,1,2.0
82,1,1,2.0
83,1,1,2.0
84,1,1,2.0
85,1,1,2.0
86,1,1,2.0
87,1,1,2.0
88,1,1,2.0
89,1,1,2.0
90,1,1,2.0
91,1,1,2.0
92,1,1,2.0
93,1,1,2.0
94,1,1,2.0
95,1,1,2.0
96,1,1,2.0
97,1,1,2.0
98,1,1,2.0
99,1,1,2.0
100,1,1,2.0
101,1,1,2.0
102,1,1,2.0
103,1,1,2.0
104,1,1,2.0
105,1,1,2.0
106,1,1,2.0
107,1,1,2.0
108,0,1,2.0
109,0,1,2.0
110,0,1,2.0
111,0,1,2.0
112,0,1,2.0
113,0,1,2.0
114,0,1,2.0
115,0,2,2.0
116,0,2,2.0
117,1,2,2.0
118,1,2,2.0
119,1,2,2.0
120,0,2,2.0
121,0,2,2.0
122,0,2,2.0
123,0,2,2.0
124,1,2,2.0
125,0,0,12.0
126,0,0,12.0
127,0,0,12.0
128,1,0,12.0
129,1,0,12.0
130,1,0,12.0
131,1,0,12.0
132,0,0,12.0
133,0,0,12.0
134,0,1,12.0
135,0,1,12.0
136,0,1,12.0
137,0,1,12.0
138,0,1,12.0
139,1,1,12.0
140,1,1,12.0
141,1,1,12.0
142,1,1,12.0
143,1,1,12.0
144,0,1,12.0
145,0,1,12.0
146,0,1,12.0
147,0,1,12.0
148,0,1,12.0
149,0,1,12.0
150,0,1,12.0
151,0,1,12.0
152,0,1,12.0
153,0,1,12.0
154,1,2,12.0
155,1,2,12.0
156,1,2,12.0
157,1,2,12.0
158,1,2,12.0
159,1,2,12.0
160,1,2,12.0
161,1,2,12.0
162,1,2,12.0
163,1,2,12.0
164,1,2,12.0
165,1,2,12.0
166,1,2,12.0
167,1,2,12.0
168,1,2,12.0
169,1,2,12.0
170,0,2,12.0
171,0,2,12.0
172,0,2,12.0
173,0,2,12.0
174,0,2,12.0
175,0,2,12.0
176,0,2,12.0
177,0,2,12.0
178,0,2,12.0
179,0,2,12.0
180,0,2,12.0
181,0,2,12.0
182,0,2,12.0
183,0,2,12.0
184,0,2,12.0
185,0,2,12.0
186,0,2,12.0
187,0,2,12.0
188,0,2,12.0
189,0,2,12.0
190,0,2,12.0
191,0,2,12.0
192,1,2,12.0
193,1,2,12.0
194,1,2,12.0
195,1,2,12.0
196,1,2,12.0
197,1,2,12.0
198,1,2,12.0
199,1,2,12.0
200,1,2,12.0
201,1,2,12.0
202,1,2,12.0
203,1,2,12.0
204,0,2,12.0
205,0,2,12.0
206,0,2,12.0
207,0,2,12.0
208,0,2,12.0
209,0,2,12.0
210,0,2,12.0
211,0,0,1.0
212,0,0,1.0
213,0,0,1.0
214,0,0,1.0
215,0,0,1.0
216,0,0,1.0
217,0,0,1.0
218,0,0,1.0
219,0,0,1.0
220,0,0,1.0
221,1,0,1.0
222,1,0,1.0
223,1,0,1.0
224,0,0,1.0
225,0,0,1.0
226,0,0,1.0
227,0,0,1.0
228,0,1,1.0
229,0,1,1.0
230,0,1,1.0
231,0,1,1.0
232,0,1,1.0
233,1,1,1.0
234,1,1,1.0
235,1,1,1.0
236,1,1,1.0
237,1,1,1.0
238,1,1,1.0
239,1,1,1.0
240,1,1,1.0
241,1,1,1.0
242,1,1,1.0
243,1,1,1.0
244,1,1,1.0
245,1,1,1.0
246,1,1,1.0
247,1,1,1.0
248,1,1,1.0
249,1,1,1.0
250,1,1,1.0
251,1,1,1.0
252,0,1,1.0
253,0,1,1.0
254,0,1,1.0
255,0,1,1.0
256,0,1,1.0
257,0,1,1.0
258,0,1,1.0
259,0,1,1.0
260,0,1,1.0
261,0,2,1.0
262,0,2,1.0
263,0,2,1.0
264,0,2,1.0
265,0,2,1.0
266,0,2,1.0
267,0,2,1.0
268,0,2,1.0
269,0,2,1.0
270,0,2,1.0
271,0,2,1.0
272,0,2,1.0
273,0,2,1.0
274,0,2,1.0
275,0,2,1.0
276,0,2,1.0
277,0,2,1.0
278,0,2,1.0
279,0,2,1.0
280,0,2,1.0
281,0,2,1.0
282,0,2,1.0
283,0,2,1.0
284,0,2,1.0
285,0,2,1.0
